老虎谍战电视剧暗算中的角色由王寅饰演1	老虎谍战电视剧暗算中的角色由王寅饰演1
宝石是2015年现代出版社出版的图书1	珠宝是2019年中国林业出版社出版的图书1
轿车salooncar是指用于载送人员及其随身物品且座位布置在两轴之间的汽车包括驾驶者在内座位数最多不超过九个一般轿车强调的是舒适性以乘员为中心而且是从经济性考虑出发选择马力适中排量小耗油量小的发动机在中国内地的行驶证管理方面轿车特指区别于货车皮卡SUV大巴中巴的小型汽车俗称为小轿车在香港轿车又称私家车	中国国家最新标准汽车和挂车类型的术语和定义GBT373012001中对汽车有如下定义由动力驱动具有4个或4个以上车轮的非轨道承载的车辆主要用于载运人员和或货物牵引载运人员和或货物的车辆特殊用途国产汽车品牌有集度五菱宝骏红旗长安长城奇瑞吉利荣威比亚迪蔚来小鹏汽车东风等国外汽车品牌有丰田大众奥迪奔驰现代起亚标致凯迪拉克日产等
街道为街与道的合称指城镇中的道路而且此类道路两边有连续不断的房屋建筑汉语意境中人口稠密区中有建筑连片区的道路尽管多被冠以街道路马路大道不论其主要功能是什么都可以被认为是街道对于具有良好基础设施与娱乐休闲功能的道路即使两边没有连片建筑设施也被认为是街道但对以车辆通行为主的普通公路和高速公路等很少人会当作街道在规划学领域街道也被看做建筑围合中的一个负空间	林荫道是指一种两侧树木茂密浓荫围绕的宽阔道路或街道中央供行人通过散步和休憩的带状绿化地段很多情况下林荫道两侧种植的树木为同一个品种从而使林荫道整体景观统一
避难所是开发商MightandDelight公司开发的一款角色扮演游戏	疯人院是一款独特的FPS游戏它是根据一部同名小说改编的该小说由苏格兰邪教作家克里斯托弗布鲁克梅尔ChristopherBrookmyre创作Bedlam是为那些在80年代和90年代的网络游戏中幸存下来的人设计的射击游戏它以最新的图形和游戏功能来展现网络游戏中一个标志性的时代并提供一些真实的游戏怀旧疯人院完全以第一人称为背景但将从第一人称的角度探索其他游戏类型
男孩是网剧灵魂摆渡中的角色由段少男扮演1	少年网剧灵魂摆渡中的角色由马可扮演1
熔炉是1950年9月光明书局出版的图书作者是朱雷	火炉是供取暖和炊事用的炉子火炉也指夏季炎热城市新四大火炉排名来自近几十年的数据和资料分别是重庆福州杭州南昌
海产品指海洋中可供食用或使用的产品范围非常的广泛大多数指的是海生动物海生植物海藻类发菜紫菜海带虾类龙虾龙虾仔基围虾	龙虾学名Palinuridae是节肢动物门软甲纲十足目龙虾科下物种的通称又名大虾龙头虾虾魁海虾等它头胸部较粗大外壳坚硬色彩斑斓腹部短小体长一般在2040厘米之间重05公斤上下部分无螯腹肢可后天演变成螯最重的能达到5公斤以上人称龙虾虎体呈粗圆筒状背腹稍平扁头胸甲发达坚厚多棘前缘中央有一对强大的眼上棘具封闭的鳃室主要分布于热带海域是名贵海产品1
英里英制长度单位英制是一种使用于英国其前殖民地和英联邦国家非正式标准化的单位制从官方而言它只应用于美国利比里亚和缅甸而其他国家或地区则使用国际单位制即米制又称为公制而英国已于1995年完成了到国际单位制的转换	千米拼音是qinm汉语词语意思是指长度单位俗称公里英文用kmkilometer表示
国王简称王是国际象棋中的一种棋子英文为king是决定胜负的棋子也是双方在棋盘上争夺的目标与中国象棋的将帅类似一旦国王被对方棋子吃掉或者国王无法摆脱对方棋子的攻击范围就算输棋国王是国际象棋中最重要的棋子国际象棋的最终目标就是吃掉对方的国王以及保护自己的国王不被对方吃掉	英文Queen是国际象棋棋局中实力最强的一种棋子可横直斜走且格数不限吃子与走法相同后往往是棋局中制胜的决定性力量少掉一个后往往意味着棋局告负此时失去后的一方通常会投子认输
谋杀是一项普通法罪行即如果一个人被他人蓄意以任何方法非法杀死或使他严重受伤后死亡则会犯下罪行基于生命权是行使一切权利的基础且一旦丧失无法恢复谋杀在所有普通法国家中都是最严重的刑事罪行之一该罪的最高法定刑即为该国刑法所允许的最高刑罚例如死刑终身监禁或法定最高监禁年期	过失杀人是指非故意或预谋的杀人由于疏忽造成的杀人1是指由于普通过失致使他人死亡的行为客体是他人的生命权利客观方面表现为过失致人死亡的行为只有发生了过失致人死亡的结果才构成本罪主观方面是过失包括疏忽大意的过失和过于自信的过失主体是已满16周岁的自然人对过失重伤进而引起被害人死亡的应直接定过失致人死亡罪不能定过失致人重伤罪即使过失致人重伤中不包括致人死亡的情况中华人民共和国刑法中没有过失杀人罪相近的只有过失致人死亡罪这一罪名
伏特加酒vodka俄罗斯的传统酒精饮料伏特加酒以谷物或马铃薯为原料经过蒸馏制成高达95度的酒精再用蒸馏水淡化至40度到60度并经过活性炭过滤使酒质更加晶莹澄澈无色且清淡爽口使人感到不甜不苦不涩只有烈焰般的刺激形成伏特加酒独具一格的特色伏特加酒在各种调制鸡尾酒的基酒之中是一种最具有灵活性适应性和变通性的酒12018年1月3日全世界最昂贵的一瓶鲁索巴尔特RussoBaltique伏特加酒价值130万美元在丹麦酒吧被盗2	金酒又名叫杜松子酒Geneva或琴酒最先由荷兰生产在英国大量生产后闻名于世是世界第一大类的烈酒金酒按口味风格又可分为辣味金酒老汤姆金酒和果味金酒1
星球1是2020年ECGStudios发行的多人推理休闲游戏	星星是欧洲游戏制造商505Games公司制作的一款模拟游戏
运算数学上运算是一种行为通过已知量的可能的组合获得新的量运算的本质是集合之间的映射一般说来运算都指代数运算它是集合中的一种对应对于集合A中的一对按次序取出的元素ab有集合A中唯一确定的第三个元素c和它们对应叫做集合A中定义了一种运算由这个运算可以得出两个运算就是把ab中的一个当作所求的而把c当作已知的这样得出的运算叫做原来运算的逆运算例如加法是已知ab求abc的运算那么已知a及c求b的运算或者已知b及c求a的运算就是加法的逆运算叫做减法	计算数学用语是一种将单一或复数之输入值转换为单一或复数之结果的一种思考过程1
钱姓中华姓氏之一在宋版百家姓中排名为第2位1钱姓可以追溯至黄帝七世孙彭祖这位史传寿高880岁的寿星真名叫篯铿后被尧赏识受封于大彭成为彭姓的祖先而彭祖之子篯孚在西周都城任钱府掌管钱财的官署上士官名篯孚就以钱为姓所以彭姓与钱姓本为一家民间至今也有彭钱不分家的说法由于西周建都于镐京今陕西西安篯孚必在京为官所以钱姓也是发源于陕西一带2先秦时钱姓表现不明朗秦汉时期钱姓在江苏徐州一带静静地发展起来三国时钱姓已经遍布了江苏浙江和安徽晋朝时江西成为钱姓的另一重要的基地唐朝之前钱姓已经分布到中原和长江南北钱姓发展的鼎盛时期是在唐宋之际钱镠在临安称帝即在今浙江杭州建立了吴越国传五主割据江苏南部和浙江一带达86年钱镠的子孙分封到各地子孙很快在江浙地区繁衍不久钱姓进入了闽粤地区清初涉足台湾342013年钱姓人口约有249万排在全国第93位钱姓人口主要分布在江苏浙江上海安徽湖北云南等省市5	美元UnitedStatesdollar货币缩写USDISO4217货币代码USD符号USA是美利坚合众国萨尔瓦多共和国巴拿马共和国厄瓜多尔共和国东帝汶民主共和国马绍尔群岛共和国密克罗尼西亚联邦基里巴斯共和国和帕劳共和国的法定货币流通的美元纸币是自1929年以来发行的各版钞票1792年美国铸币法案通过后出现当前美元的发行是由美国联邦储备系统控制自1913年起美国建立联邦储备制度发行联邦储备券现行流通的钞票中99以上为联邦储备券美元的发行主管部门是国会具体发行业务由联邦储备银行负责办理在二战以后欧洲大陆国家与美国达成协议同意使用美元进行国际支付此后美元作为储备货币在美国以外的国家广泛使用并最终成为国际货币1截止2021年12月16日晚10点里拉对美元汇率已经超过156创下新低2021年以来里拉对美元贬值幅度超过503
锦标本是锦制的标旗后泛指授给竞赛优胜者的奖品锦标赛ChampionshipsTournament指不同地区或竞赛大组的优胜者之间的一系列决赛之一锦标赛是排名在一定水平上的人才可以参加而且每个国家的选手数量限制比如世界羽毛球锦标赛里我们的选手排在前20的有的是而且理论上可以列为种子选手的人也应该大有人在但是由于有参赛人数的限制有些人就失去了机会如果他代表别的国家或许就是第一人锦标赛的地位和奖金积分等要比公开赛高很多因为它和奥运会的比赛一样是这个项目最高级别的个人赛事	联赛一般指多人运动的比赛中如足球排球篮球乒乓球等三个以上同等级的球队之间的比赛其也可以引申出不同类型的有组织性的统一比赛与杯赛不同的它是有较大的含金量的各个不同运动或活动的联赛都有相应的规则以促使其公平公正1
海产品指海洋中可供食用或使用的产品范围非常的广泛大多数指的是海生动物海生植物海藻类发菜紫菜海带虾类龙虾龙虾仔基围虾	食物英文Food是指能够满足机体正常生理和生化能量需求并能延续正常寿命的物质对人体而言能够满足人的正常生活活动需求并利于寿命延长的物质称之为食物食物通常是由碳水化合物脂肪蛋白质水构成能够藉进食或是饮用为人类或者生物提供营养或愉悦的物质食物的来源可以是植物动物或者其他界的生物例如真菌亦或发酵产品像是酒精人类借由采集耕种畜牧狩猎渔猎等许多种不同的方式获得食物
男人拼音nnrn指性成熟的雄性人类或指丈夫zhngfu男性同女人相对从生理学上讲具有XY染色体的人就是男人在生理心理上具有区别于女人的特征如具有男性生殖系统从动物学上讲男人即为雄性的人类	女人同男人相对从生理学上讲具有xx染色体的人就是女人在生理上具有区别于男人的特征如具有女性生殖系统从动物学上讲女人即为雌性的人类
伏特加酒vodka俄罗斯的传统酒精饮料伏特加酒以谷物或马铃薯为原料经过蒸馏制成高达95度的酒精再用蒸馏水淡化至40度到60度并经过活性炭过滤使酒质更加晶莹澄澈无色且清淡爽口使人感到不甜不苦不涩只有烈焰般的刺激形成伏特加酒独具一格的特色伏特加酒在各种调制鸡尾酒的基酒之中是一种最具有灵活性适应性和变通性的酒12018年1月3日全世界最昂贵的一瓶鲁索巴尔特RussoBaltique伏特加酒价值130万美元在丹麦酒吧被盗2	白兰地最初来自荷兰文Brandewijn意为烧制过的酒狭义上讲是指葡萄发酵后经蒸馏而得到的高度酒精再经橡木桶贮存而成的酒白兰地是一种蒸馏酒以水果为原料经过发酵蒸馏贮藏后酿造而成以葡萄为原料的蒸馏酒叫葡萄白兰地常讲的白兰地都是指葡萄白兰地而言以其他水果原料酿成白兰地应加上水果的名称苹果白兰地樱桃白兰地等但它们的知名度远不如前者大白兰地通常被人称为葡萄酒的灵魂世界上生产白兰地的国家很多但以法国出品的白兰地最为驰名而在法国产的白兰地中尤以干邑地区生产的最为优美其次为雅文邑亚曼涅克地区所产除了法国白兰地以外其他盛产葡萄酒的国家如西班牙意大利葡萄牙美国秘鲁德国南非希腊等国家也都有生产一定数量风格各异的白兰地独联体国家生产的白兰地质量也很优异
哈佛大学HarvardUniversity简称哈佛位于美国马萨诸塞州波士顿都市区剑桥市的一所私立研究型大学12常春藤盟校全球大学高研院联盟成员1378哈佛大学建立于1636年最早由马萨诸塞州殖民地立法机关创建初名新市民学院34为了纪念在成立初期给予学院慷慨支持的约翰哈佛牧师学校于1639年3月更名为哈佛学院HarvardCollege1780年哈佛学院正式改称哈佛大学34哈佛大学由十所学院以及一个高等研究所构成157该校还负责管理运行哈佛史密松森天体物理中心麻省总医院波士顿儿童医院等机构811截至2018年哈佛共有18位菲尔兹奖得主14位图灵奖得主84	耶鲁大学YaleUniversity简称耶鲁Yale坐落于美国康涅狄格州纽黑文是世界著名的私立研究型大学全美第三古老的高等学府14美国大学协会的14所创始院校之一也是著名的常春藤联盟成员57耶鲁大学最初由康涅狄格州公理会教友于1701年创立1716年迁至康涅狄格州的纽黑文NewHaven13耶鲁大学作为美国最具影响力的私立大学之一是美国历史上建立的第三所大学其本科生院与哈佛大学普林斯顿大学齐名历年来共同角逐美国大学本科生院美国前三名位列201920年USNews美国大学本科排名第3138耶鲁大学图书馆拥有1500万册藏书在美国大学图书馆系统中排名第二1113耶鲁校园的260座建筑物涵盖各个历史时期的设计风格被誉为美国最美丽的城市校园1415耶鲁大学的教授阵容课程安排教学设施方面堪称世界一流34截至2020年10月耶鲁大学校友教授及研究人员中共产生了65位诺贝尔奖得主世界第十一5位菲尔兹奖得主世界第十二以及3位图灵奖得主世界第十六1027此外耶鲁大学还走出了包括威廉杰斐逊克林顿乔治赫伯特沃克布什在内的5位美国总统以及19位美国最高法院大法官16位亿万富豪等1392526202122年度耶鲁大学位列泰晤士高等教育世界大学排名世界第8名17CWUR世界大学排名世界第10位28USNews世界大学排名世界第12名18软科世界大学学术排名世界第11名16QS世界大学排名世界第14名23
心理学是2000年科学出版社出版的图书作者是刘耀中	精神病学是2002年科学出版社出版的图书作者是张心保1
星球是新加坡歌手林俊杰演唱的歌曲由张思尔作词林俊杰作曲收录在林俊杰2003年4月10日发行的个人第一张专辑乐行者中星球是一首流行风格的歌曲歌曲展现了林俊杰的高超唱功和创作才能	月亮是由金蜗牛临渡陈丽君作词KIMJINHOONJJKIMKYUWONQJINJEONGMI作曲Hickey喜祺演唱的歌曲收录于同名专辑月亮发行于2019年1月15日1
星球是新加坡歌手林俊杰演唱的歌曲由张思尔作词林俊杰作曲收录在林俊杰2003年4月10日发行的个人第一张专辑乐行者中星球是一首流行风格的歌曲歌曲展现了林俊杰的高超唱功和创作才能	歌曲太阳由郑宜农作词作曲并演唱于2011年7月8日发行收录于专辑海王星1
虎学名Pantheratigris俗称老虎是哺乳纲大型猫科动物是亚洲的特有种类原产地主要是东北亚和东南亚虎是种高度进化的猎食动物也是自然界生态中不可或缺的一环成年虎的身长可达225米尾长1米重达90220公斤在它庞大的体型与有力肌肉之外它们最显著的特征就是在白色或橘红色的毛皮上有黑色垂直的条纹它们下半部的颜色较淡凶猛至极力量极大有森林之王百兽之王之称古称南山白额王出处宋苏辙湖阴曲老虎穴中卧猎夫不敢窥元王恽赵邈龊虎图行耽耽老虎底许来抱石踞坐何雄哉	美洲豹学名PantheraoncaLinnaeus1758又叫美洲虎是现存第三大的猫科动物体重35150千克最大亚种雄性亚马孙美洲豹平均体重为98千克咬力可达1250磅是生活在中南美洲的一种大型猫科动物它身上的花纹比较像豹但整个身体的形状又更接近于虎在猫科动物中美洲豹的体型仅次于狮虎野外寿命约18年人工饲养的历史达20多年列入世界自然保护联盟濒危物种红色名录IUCN2021年近危NT
虎学名Pantheratigris英文名Tiger是哺乳纲的大型猫科动物毛色浅黄或棕黄色满身黑色横纹头圆耳短耳背面黑色中央有一白斑甚显著四肢健壮有力尾粗长具黑色环纹尾端黑色共有九个亚种各亚种之间的体型和形态差异很大西伯利亚虎最大雄性体长可达37米体重423千克苏门答腊虎是最小的活亚种雄虎体长234米体重136千克老虎是典型的山地林栖动物由南方的热带雨林常绿阔叶林以至北方的落叶阔叶林和针阔叶混交林都能很好的生活虎常单独活动只有在繁殖季节雌雄才在一起生活无固定巢穴多在山林间游荡寻食能游泳虎多黄昏活动白天多潜伏休息没有惊动则很少出来虎的活动范围较大在北方日寻食活动范围可达数十公里在南方因食物较多则活动距离较短发情交配期一般在11月至翌年2月份发情期间虎的叫声特别响亮能达2千米远怀孕期105天左右每产15仔通常2仔新生虎仔重约1千克哺乳期56个月雌虎和幼仔在一起生活23年在此期间雌虎不发情交配故在自然条件下雌虎要每隔23年才能繁殖一次雌虎3年龄时性成熟雄虎要更晚些虎的寿命一般2025年由于人类的猎杀和野外栖息地碎片化虎成为珍稀濒危物种被列为濒危野生动植物种国际贸易公约CITES附录级保护动物世界自然保护联盟濒危物种红色名录IUCN濒危动物2016年调查显示全球野生虎的数量为3890只	猫科动物Felidae是哺乳纲食肉目猫科动物下的动物分为2亚科即猫亚科和豹亚科共有14属38种体型中大躯体均匀四肢中长趾行性头大而圆吻部较短视听嗅觉均很发达犬齿及裂齿极发达上裂齿具三齿尖下裂齿具2齿尖臼齿较退化齿冠直径小于外侧门齿高度皮毛柔软常具显著花纹前足5趾后足4趾爪锋利可伸缩猎豹属爪不能完全缩回尾一般较发达猫亚科动物爪能伸缩体型一般较小不发出吼声共有12属豹亚科爪能伸缩一般体型较大能发出吼声有2属猫科动物多数善攀缘及跳跃大多喜独居肉食常以伏击方式捕杀其他温血动物分布于欧亚大陆非洲美洲的寒带到热带地区由野猫Felissilvestris驯化来的家猫Fscatus已被人为带到全世界很多成为当地入侵物种
液体Liquid是三大物质形态之一它没有确定的形状往往受容器的影响但它的体积在压力及温度不变的环境下是固定不变的液体分子间的距离较远分子运动也较剧烈分子间的吸引力较小增温或减压一般能使液体汽化成为气体	水化学式为H2O是由氢氧两种元素组成的无机物无毒可饮用在常温常压下为无色无味的透明液体被称为人类生命的源泉是维持生命的重要物质也叫氧化氢水是地球上最常见的物质之一地球表面约有71被水覆盖它是包括无机化合人类在内所有生命生存的重要资源也是生物体最重要的组成部分它在空气中含量虽少但却是空气的重要组分1纯水导电性十分微弱属于极弱的电解质日常生活中的水由于溶解了其他电解质而有较多的阴阳离子才有较为明显的导电性12022年9月中国科学家发现嫦娥五号矿物表层中存在大量的太阳风成因水16
生命是谭剑飞创作的一首现代诗歌	死亡是田晓青创作的现代新诗
铝Aluminium是一种金属元素元素符号为Al原子序数为13其单质是一种银白色轻金属有延展性商品常制成棒状片状箔状粉状带状和丝状在潮湿空气中能形成一层防止金属腐蚀的氧化膜铝粉在空气中加热能猛烈燃烧并发出眩目的白色火焰易溶于稀硫酸硝酸盐酸氢氧化钠和氢氧化钾溶液难溶于水相对密度270熔点660沸点2327铝元素在地壳中的含量仅次于氧和硅居第三位是地壳中含量最丰富的金属元素航空建筑汽车三大重要工业的发展要求材料特性具有铝及其合金的独特性质这就大大有利于这种新金属铝的生产和应用应用极为广泛2017年10月27日世界卫生组织国际癌症研究机构公布的致癌物清单初步整理参考铝生产过程在一类致癌物清单中	金属一般指具备特有光泽即对可见光强烈反射而不透明具有延展性及导热导电性的一类物质狭义的金属概念为由金属元素组成的单质4纯金属在常温下一般都是固体汞除外大多数为电和热的优良导体密度较大熔点较高1地球上的金属资源广泛地存在于地壳和海洋中除少数很不活泼的金属如金银等有单质形式存在外其余都以化合物的形式存在1金属在自然界中广泛存在在生活中应用极为普遍在现代工业中是非常重要和应用最多的一类物质
电池Battery指盛有电解质溶液和金属电极以产生电流的杯槽或其他容器或复合容器的部分空间能将化学能转化成电能的装置具有正极负极之分随着科技的进步电池泛指能产生电能的小型装置如太阳能电池电池的性能参数主要有电动势容量比能量和电阻利用电池作为能量来源可以得到具有稳定电压稳定电流长时间稳定供电受外界影响很小的电流并且电池结构简单携带方便充放电操作简便易行不受外界气候和温度的影响性能稳定可靠在现代社会生活中的各个方面发挥有很大作用	手机全称为移动电话或无线电话通常称为手机原本只是一种通讯工具早期又有大哥大的俗称1是可以在较广范围内使用的便携式电话终端最早是由美国贝尔实验室在1940年制造的战地移动电话机发展而来1958年苏联工程师列昂尼德库普里扬诺维奇发明了1型移动电话1973年美国摩托罗拉工程师马丁库帕发明了世界上第一部商业化手机手机通讯历经2G时代3G时代迄今为止已发展至4G时代了而5G时代也紧随其后国内已经出现5G的商用
龙虾是中国大陆上海美术电影制片厂制作的一部木偶剧动画片该动画片根据芦丹同名话剧改编而成于1958年上映	食物是1993年上映的捷克斯洛伐克电影由杨史云梅耶导演BedrichGlaserLudvkSvb主演
